Count	Time	Value	Diff	Status
0	16/08/2013 17:08:00 CEST	4.122,40	0,00	Real-time index
0	16/08/2013 17:07:45 CEST	4.122,53	0,00	Real-time index
0	16/08/2013 17:07:30 CEST	4.122,45	0,00	Real-time index
0	16/08/2013 17:07:15 CEST	4.122,74	0,00	Real-time index
0	16/08/2013 17:07:00 CEST	4.122,58	0,00	Real-time index
0	16/08/2013 17:06:45 CEST	4.122,57	0,00	Real-time index
0	16/08/2013 17:06:30 CEST	4.122,58	0,00	Real-time index
0	16/08/2013 17:06:15 CEST	4.123,42	0,00	Real-time index
0	16/08/2013 17:06:00 CEST	4.123,45	0,00	Real-time index
0	16/08/2013 17:05:45 CEST	4.122,72	0,00	Real-time index
0	16/08/2013 17:05:30 CEST	4.122,86	0,00	Real-time index
0	16/08/2013 17:05:15 CEST	4.122,71	0,00	Real-time index
0	16/08/2013 17:05:00 CEST	4.122,59	0,00	Real-time index
0	16/08/2013 17:04:45 CEST	4.122,77	0,00	Real-time index
0	16/08/2013 17:04:30 CEST	4.121,83	0,00	Real-time index
0	16/08/2013 17:04:15 CEST	4.121,16	0,00	Real-time index
0	16/08/2013 17:04:00 CEST	4.121,17	0,00	Real-time index
0	16/08/2013 17:03:45 CEST	4.120,20	0,00	Real-time index
0	16/08/2013 17:03:30 CEST	4.120,28	0,00	Real-time index
0	16/08/2013 17:03:15 CEST	4.120,21	0,00	Real-time index
0	16/08/2013 17:03:00 CEST	4.119,96	0,00	Real-time index
0	16/08/2013 17:02:45 CEST	4.118,73	0,00	Real-time index
0	16/08/2013 17:02:30 CEST	4.118,64	0,00	Real-time index
0	16/08/2013 17:02:15 CEST	4.118,79	0,00	Real-time index
0	16/08/2013 17:02:00 CEST	4.118,57	0,00	Real-time index
0	16/08/2013 17:01:45 CEST	4.119,16	0,00	Real-time index
0	16/08/2013 17:01:30 CEST	4.118,78	0,00	Real-time index
0	16/08/2013 17:01:15 CEST	4.118,30	0,00	Real-time index
0	16/08/2013 17:01:00 CEST	4.118,20	0,00	Real-time index
0	16/08/2013 17:00:45 CEST	4.118,62	0,00	Real-time index
0	16/08/2013 17:00:30 CEST	4.119,28	0,00	Real-time index
0	16/08/2013 17:00:15 CEST	4.119,03	0,00	Real-time index
0	16/08/2013 17:00:00 CEST	4.118,56	0,00	Real-time index
0	16/08/2013 16:59:45 CEST	4.118,61	0,00	Real-time index
0	16/08/2013 16:59:30 CEST	4.118,52	0,00	Real-time index
0	16/08/2013 16:59:15 CEST	4.118,91	0,00	Real-time index
0	16/08/2013 16:59:00 CEST	4.118,87	0,00	Real-time index
0	16/08/2013 16:58:45 CEST	4.119,03	0,00	Real-time index
0	16/08/2013 16:58:30 CEST	4.119,21	0,00	Real-time index
0	16/08/2013 16:58:15 CEST	4.119,42	0,00	Real-time index
0	16/08/2013 16:58:00 CEST	4.118,77	0,00	Real-time index
0	16/08/2013 16:57:45 CEST	4.119,39	0,00	Real-time index
0	16/08/2013 16:57:30 CEST	4.119,96	0,00	Real-time index
0	16/08/2013 16:57:15 CEST	4.119,93	0,00	Real-time index
0	16/08/2013 16:57:00 CEST	4.119,38	0,00	Real-time index
0	16/08/2013 16:56:45 CEST	4.119,62	0,00	Real-time index
0	16/08/2013 16:56:30 CEST	4.119,61	0,00	Real-time index
0	16/08/2013 16:56:15 CEST	4.119,60	0,00	Real-time index
